time,KE,dt
0.00425,7544430349.6037,2.6440416544961e-05
0.00426,7583513308.5913,2.6440416544961e-05
0.00427,7622597044.3558,2.6440416544961e-05
0.00428,7661680484.3705,2.6440416544961e-05
0.00429,7700762847.2249,2.5286637111553e-05
0.0043,7739843652.4623,2.6440416544957e-05
0.00431,7778922722.6598,2.6440416544961e-05
0.00432,7818000177.1655,2.6440416544961e-05
0.00433,7857076417.422,2.6440416544961e-05
0.00434,7896152104.2985,2.6440416544961e-05
0.00435,7935228128.2898,2.6440416544961e-05
0.00436,7974305573.7986,2.6440416544961e-05
0.00437,8013385679.0005,2.6440416544961e-05
0.00438,8052469792.9501,2.5025576933448e-05
0.00439,8091559331.6069,2.6440416544962e-05
0.0044,8130655734.3924,2.6440416544962e-05
0.00441,8169760422.6321,2.6440416544961e-05
0.00442,8208874761.0713,2.6440416544961e-05
0.00443,8248000023.2999,2.6440416544961e-05
0.00444,8287137361.4807,2.6440416544961e-05
0.00445,8326287780.5824,2.6440416544961e-05
0.00446,8365452116.9635,2.6440416544961e-05
0.00447,8404631020.9367,2.6440416544962e-05
0.00448,8443824942.841,2.6440416544961e-05
0.00449,8483034122.0662,2.4611785545976e-05
0.0045,8522258578.5372,2.5025576933448e-05
0.00451,8561498106.2452,2.53000176671e-05
0.00452,8600752268.5925,2.6440416544961e-05
0.00453,8640020395.6287,2.5025576933031e-05
0.00454,8679301583.3126,2.6440416544961e-05
0.00455,8718594695.2016,2.6440416544961e-05
0.00456,8757898367.1809,2.6440416544961e-05
0.00457,8797211015.8673,2.6440416544961e-05
0.00458,8836530851.3174,2.6440416544961e-05
0.00459,8875855894.6361,2.6440416544961e-05
0.0046,8915184000.9155,2.6440416544961e-05
0.00461,8954512887.6666,2.5899868097224e-05
0.00462,8993840168.6128,2.5025576933052e-05
0.00463,9033163392.3775,2.6440416544961e-05
0.00464,9072480085.2379,2.6440416544961e-05
0.00465,9111787796.782,2.6440416544961e-05
0.00466,9151084147.0232,2.6440416544961e-05
0.00467,9190366873.3056,2.6440416544962e-05
0.00468,9229633875.2282,2.6440416544961e-05
0.00469,9268883255.8033,2.6440416544962e-05
0.0047,9308113357.1856,2.6440416544961e-05
0.00471,9347322789.372,2.6440416544961e-05
0.00472,9386510450.8358,2.4572035262045e-05
0.00473,9425675540.365,2.6440416544961e-05
0.00474,9464817559.5078,2.614320086404e-05
0.00475,9503936305.7656,2.6440416544961e-05
0.00476,9543031857.194,2.6440416544962e-05
0.00477,9582104549.2504,2.6440416544961e-05
0.00478,9621154945.1704,2.6440416544955e-05
0.00479,9660183801.4466,2.644041654496e-05
0.0048,9699192030.0753,2.0374365854551e-05
0.00481,9738180659.3224,2.6440416544961e-05
0.00482,9777150794.6935,2.4572035262045e-05
0.00483,9816103581.6117,2.5246227894952e-05
0.00484,9855040171.1169,2.6148349403686e-05
0.00485,9893961689.5046,2.6440416544961e-05
0.00486,9932869212.5467,2.6440416544961e-05
0.00487,9971763744.5019,2.6440416544961e-05
0.00488,10010646201.917,2.6440416544941e-05
0.00489,10049517401.818,2.6440416544961e-05
0.0049,10088378053.589,2.6440416544961e-05
0.00491,10127228753.768,2.6440416544962e-05
0.00492,10166069982.875,2.6440416544961e-05
0.00493,10204902103.39,2.6440416544961e-05
0.00494,10243725358.137,2.6440416544961e-05
0.00495,10282539868.387,2.6440416544961e-05
0.00496,10321345631.365,2.6440416544961e-05
0.00497,10360142517.007,2.6440416544961e-05
0.00498,10398930264.069,2.5814375359117e-05
0.00499,10437708476.032,2.6440416544961e-05
0.005,10476476617.301,2.6440416544962e-05
0.00501,10515234010.48,2.5814375359117e-05
0.00502,10553979835.535,2.6440416544961e-05
0.00503,10592713131.658,2.6440416544961e-05
0.00504,10631432802.561,2.5091326129646e-05
0.00505,10670137625.785,2.6440416544961e-05
0.00506,10708826266.389,2.6440416544961e-05
0.00507,10747497295.09,2.3382363701384e-05
0.00508,10786149210.704,2.3382363701384e-05
0.00509,10824780466.334,2.6006433857762e-05
0.0051,10863389498.536,2.6440416544961e-05
0.00511,10901974758.46,2.6440416544953e-05
0.00512,10940534743.78,2.6440416544961e-05
0.00513,10979068030.078,2.6440416544961e-05
0.00514,11017573300.377,2.6440416544961e-05
0.00515,11056049371.622,2.6440416544961e-05
0.00516,11094495216.988,2.6440416544961e-05
0.00517,11132909983.122,2.6440416544961e-05
0.00518,11171293001.783,2.644041654496e-05
0.00519,11209643795.554,2.5873977149183e-05
0.0052,11247962077.582,2.6066479084098e-05
0.00521,11286247745.733,2.444893960274e-05
0.00522,11324500871.613,2.6440416544961e-05
0.00523,11362721685.209,2.6440416544961e-05
0.00524,11400910556.105,2.3468649941568e-05
0.00525,11439067972.198,2.6440416544961e-05
0.00526,11477194516.932,2.6440416544961e-05
0.00527,11515290846.027,2.3296439018709e-05
0.00528,11553357664.491,2.6440416544961e-05
0.00529,11591395704.669,2.6440416544961e-05
0.0053,11629405705.82,2.6440416544961e-05
0.00531,11667388395.559,2.3261005486837e-05
0.00532,11705344473.319,2.6440416544961e-05
0.00533,11743274595.829,2.4853124938939e-05
0.00534,11781179364.424,2.6440416544961e-05
0.00535,11819059313.979,2.6440416544961e-05
0.0053599999999999,11856914903.134,2.6440416544961e-05
0.0053699999999999,11894746505.606,2.6274199457112e-05
0.0053799999999999,11932554402.322,2.6440416544961e-05
0.0053899999999999,11970338774.236,2.6440416544961e-05
0.0053999999999999,12008099695.797,2.6288817980978e-05
0.0054099999999999,12045837129.151,2.6440416544961e-05
0.0054199999999999,12083550919.246,2.6440416544962e-05
0.0054299999999999,12121240790.19,2.6440416544962e-05
0.0054399999999999,12158906343.124,2.6440416544961e-05
0.0054499999999999,12196547055.997,2.6440416544961e-05
0.0054599999999999,12234162285.633,2.6440416544961e-05
0.0054699999999999,12271751272.318,2.6440416544961e-05
0.0054799999999999,12309313147.263,2.6440416544961e-05
